ts_utc,run_id,phase,uid,ack_ms,convergence_lag_ms,probe_status
2026-02-12T10:59:33Z,20260212T105929Z,phase1_live,lt-20260212T105929Z-1,1770893972239,1219,ok
2026-02-12T10:59:36Z,20260212T105929Z,phase1_live,lt-20260212T105929Z-2,1770893974888,1209,ok
2026-02-12T10:59:38Z,20260212T105929Z,phase1_live,lt-20260212T105929Z-3,1770893977584,1225,ok
2026-02-12T11:00:28Z,20260212T105929Z,phase1_dr,lt-20260212T105929Z-4,1770894026736,1254,ok
2026-02-12T11:00:30Z,20260212T105929Z,phase1_dr,lt-20260212T105929Z-5,1770894029430,1234,ok
2026-02-12T11:00:33Z,20260212T105929Z,phase1_dr,lt-20260212T105929Z-6,1770894032091,1232,ok
2026-02-12T11:00:52Z,20260212T105929Z,phase2_live_r1,lt-20260212T105929Z-7,1770894051497,1218,ok
2026-02-12T11:00:55Z,20260212T105929Z,phase2_live_r1,lt-20260212T105929Z-8,1770894054128,1185,ok
2026-02-12T11:00:57Z,20260212T105929Z,phase2_live_r1,lt-20260212T105929Z-9,1770894056738,1230,ok
2026-02-12T11:01:01Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-10,1770894060630,1204,ok
2026-02-12T11:01:03Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-11,1770894062737,1204,ok
2026-02-12T11:01:06Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-12,1770894064862,1241,ok
2026-02-12T11:01:08Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-13,1770894067009,1238,ok
2026-02-12T11:01:10Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-14,1770894069170,1231,ok
2026-02-12T11:01:12Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-15,1770894071329,1197,ok
2026-02-12T11:01:16Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-16,1770894074925,1255,ok
2026-02-12T11:01:18Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-17,1770894077610,1312,ok
2026-02-12T11:01:21Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-18,1770894080324,1186,ok
2026-02-12T11:01:25Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-19,1770894084046,1168,ok
2026-02-12T11:01:27Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-20,1770894086106,1176,ok
2026-02-12T11:01:29Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-21,1770894088170,1156,ok
2026-02-12T11:01:31Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-22,1770894090220,1152,ok
2026-02-12T11:01:33Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-23,1770894092281,1178,ok
2026-02-12T11:01:35Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-24,1770894094360,1179,ok
2026-02-12T11:01:38Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-25,1770894097704,1218,ok
2026-02-12T11:01:41Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-26,1770894100326,1164,ok
2026-02-12T11:01:44Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-27,1770894102872,1150,ok
2026-02-12T11:02:05Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-28,1770894124634,1259,ok
2026-02-12T11:02:08Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-29,1770894127335,1221,ok
2026-02-12T11:02:11Z,20260212T105929Z,phase4_switch_pre,lt-20260212T105929Z-30,1770894129987,1238,ok
2026-02-12T11:02:15Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-31,1770894133812,1227,ok
2026-02-12T11:02:17Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-32,1770894136483,1258,ok
2026-02-12T11:02:20Z,20260212T105929Z,phase4_switch_post,lt-20260212T105929Z-33,1770894139151,1253,ok
2026-02-12T11:02:23Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-34,1770894141979,1258,ok
2026-02-12T11:02:25Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-35,1770894144661,1219,ok
2026-02-12T11:02:28Z,20260212T105929Z,phase4_recovery,lt-20260212T105929Z-36,1770894147307,1220,ok
2026-02-12T11:02:48Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-37,1770894167234,1208,ok
2026-02-12T11:02:51Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-38,1770894169908,1201,ok
2026-02-12T11:02:53Z,20260212T105929Z,phase5_ga,lt-20260212T105929Z-39,1770894172556,1188,ok
2026-02-12T11:03:11Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-40,1770894190306,1231,ok
2026-02-12T11:03:14Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-41,1770894192946,1191,ok
2026-02-12T11:03:16Z,20260212T105929Z,phase5_direct,lt-20260212T105929Z-42,1770894195566,1194,ok
